draw_number,draw_date,first_prize,second_prize,third_prize,starter_1,starter_2,starter_3,starter_4,starter_5,starter_6,starter_7,starter_8,starter_9,starter_10,consolation_1,consolation_2,consolation_3,consolation_4,consolation_5,consolation_6,consolation_7,consolation_8,consolation_9,consolation_10
5138,2024-03-02,4120,5096,1017,0817,3311,4520,4563,4615,6191,7183,7242,8571,9765,0627,1927,3460,4577,5761,5890,6366,8371,8525,8696
5139,2024-03-03,2468,0152,1457,0345,0360,1178,3867,5835,6167,7045,7160,8791,8962,1419,1759,4047,4194,7114,9082,9605,9688,9839,9887
5140,2024-03-06,4719,5753,4288,1403,3656,3842,5578,5991,7418,8259,8912,8970,9165,1389,1698,2322,3817,4209,6638,6918,7331,7494,9736
5141,2024-03-09,2312,3527,1784,3026,3105,4486,5530,7019,8230,8401,9018,9068,9495,1177,1459,2010,3760,4068,6301,7019,7313,7537,7979
5142,2024-03-10,6663,4349,8559,0269,0555,1161,1579,3832,5703,6516,6636,7583,9204,0007,0594,3737,4010,7879,7980,8573,8699,8781,9342
5143,2024-03-13,3235,4946,2328,0471,0586,2163,2779,4685,5015,8599,9601,9752,9962,2446,5048,6059,6471,6801,7244,7485,7885,8580,9682
5144,2024-03-16,6899,6747,4174,0142,1277,3575,3587,4311,6821,6876,6921,8568,9482,0170,2334,3240,3404,3584,4500,8571,8791,8990,9834
5145,2024-03-17,2874,1553,8550,1760,1864,2700,4379,7019,7093,7180,8442,8572,9440,2000,2118,2868,3644,4548,6567,7566,8809,8838,9314
5146,2024-03-20,3191,0766,3667,0190,0888,1060,1293,3329,3696,4156,4381,5167,8118,0327,1597,3292,3445,4214,4216,7620,7633,9718,9866
5147,2024-03-23,8233,4397,1532,1553,1942,3559,4566,5166,5720,6557,6750,6961,8334,0276,0810,1105,1462,2046,2663,5943,7328,8280,9766
5148,2024-03-24,0154,2866,8468,1109,1715,2267,5366,5657,5847,6445,6949,7000,9483,0690,2166,2823,2898,4412,6181,7250,7352,8306,8451
5149,2024-03-27,1356,5061,6623,0086,1075,2738,4495,6024,7076,7426,7670,7837,8178,0099,0131,4466,5778,6655,6692,7555,8588,8670,9636
5150,2024-03-30,7275,4184,1099,0544,1373,1683,3457,4851,6426,6581,6937,8380,9669,0201,1900,2232,3923,4495,5744,6794,8055,8641,9949
5151,2024-03-31,3914,5622,3317,2090,3689,3708,4917,5315,6406,6804,7905,8702,8831,0739,1503,1973,2200,2342,3710,4846,5918,6822,9914
5152,2024-04-03,1755,4508,3542,1830,2209,2260,3315,4554,6220,6901,7684,8278,9206,0859,0912,3181,3288,3699,4235,4669,7985,8467,9800
5153,2024-04-06,4437,9844,2406,1446,2993,3322,4340,5281,5546,5921,8650,9227,9858,0309,0697,2469,3222,4094,7254,7660,8148,8711,9106
5154,2024-04-07,2194,1562,6955,0094,0143,1416,5626,6314,6746,8586,8728,8818,9645,0223,0644,1195,1326,5765,5989,6805,7817,8470,9175
5155,2024-04-10,6763,4210,5525,1357,1549,1712,3491,4765,5940,6751,7403,8153,8510,0604,3496,4251,4393,4419,6838,7177,8539,9416,9496
5156,2024-04-13,3779,3136,2299,0679,1594,3012,3781,3968,5096,5668,7392,8469,9044,1639,4380,4458,6474,7506,7994,8178,8912,9659,9836
5157,2024-04-14,9406,4726,1892,0175,2321,2395,4971,6547,7603,7731,9176,9184,9284,0073,0321,2587,3672,4511,5078,5490,7548,7676,7855
5158,2024-04-17,8276,2227,3182,3979,5533,6819,7063,8488,8514,8597,8644,9507,9678,0680,1393,1747,2749,4149,5637,6902,7449,8080,8614
5159,2024-04-20,0737,1173,3111,1041,3012,3610,5162,6370,7465,7684,7906,9668,9830,0023,0059,0522,2017,2058,2064,2356,2995,3563,9917
5160,2024-04-21,4017,6997,5643,1969,2463,5280,5897,6394,7694,8143,9355,9361,9616,0364,0982,1175,2105,4327,5708,6426,6454,8219,9403
5161,2024-04-24,2922,5874,7116,1489,2150,3620,4120,5038,5144,8744,9110,9468,9514,0662,1104,1689,2721,5076,5550,7736,8516,9315,9999
5162,2024-04-27,4489,2139,8027,0366,0624,1503,2137,3815,4305,5142,6386,7061,9099,3053,3706,4147,6992,7538,7753,7806,8207,8635,9825
5163,2024-04-28,6576,7394,2928,2460,2665,3070,3167,5530,6116,6881,7156,7872,8676,0256,1475,3116,3698,5059,5118,5564,7353,8111,9061
5164,2024-05-01,2221,9035,6083,0349,1905,1990,2314,2548,2942,5275,5625,8843,9778,0171,0775,2809,2857,3685,4195,5407,5655,7762,8992
5165,2024-05-04,5233,7431,0928,0188,0695,1143,1469,1666,3180,4398,5972,7606,9426,0477,0707,1311,1509,2130,4062,4158,4566,5596,9458
5166,2024-05-05,8635,7908,7488,2650,3137,3477,6305,8021,8682,9423,9565,9615,9695,1791,3347,3696,4487,4843,5932,6888,7429,7743,8059
5167,2024-05-08,3255,6607,8573,1404,2133,3301,3633,3839,4621,6402,6602,7535,9091,0361,0662,3050,4860,5244,5784,7297,7927,9587,9668
5168,2024-05-11,1749,5441,8745,0807,2604,2941,3813,4169,4818,7719,8563,9644,9821,0158,0451,1152,2026,3610,4364,4871,5027,5793,7939
5169,2024-05-12,2054,4668,7347,0310,1136,2515,3565,4880,5407,5819,7003,7182,8605,0520,0759,3027,4349,4359,6644,6756,7158,8551,9763
5170,2024-05-15,1080,6727,3927,0029,0386,1417,2530,3334,4486,5164,5724,7933,9597,1208,1358,3970,4664,6224,6226,7823,7823,8672,9255
5171,2024-05-18,0431,2562,9157,2100,2740,2810,3686,4373,4469,5074,6141,8505,9150,0409,1343,1410,3455,5971,6385,7604,8228,8292,8334
5172,2024-05-19,4448,8523,9143,1830,2363,2878,3265,4632,6434,6772,6944,7249,7715,1595,2249,2894,2914,5506,5984,7525,8434,8514,9854
5173,2024-05-22,3691,5631,6150,0796,1456,1760,2591,3673,4111,5282,6838,7757,7914,0548,1146,1202,4987,6450,7298,8027,8425,8931,9227
5174,2024-05-25,4847,5332,7500,0585,0729,1111,2164,4513,4516,5786,6772,9199,9936,0286,0951,1178,2201,3507,4293,5713,6128,7535,9376
5175,2024-05-26,3895,6684,0927,0956,2165,4181,4527,5827,6006,6329,6794,7180,7960,0154,0787,2465,2936,4411,6644,6701,7943,9179,9515
5176,2024-05-29,9173,5671,7799,0656,0694,1556,4795,7029,7659,7701,7709,8438,9633,1099,2372,2943,3654,4957,5505,7047,7622,8017,9497
5177,2024-06-01,9799,2463,1585,0770,0939,1340,1665,1942,3448,5484,6098,7614,7615,0446,0845,1666,1733,3651,4249,4903,5284,7399,7736
5178,2024-06-02,6212,4029,7849,1535,1591,2317,2355,4018,4805,4903,5428,5862,8247,0474,0542,0732,2565,3191,3944,4840,5797,6778,8903
5179,2024-06-05,9498,9570,7805,0621,0945,2440,2936,3757,4684,5080,7411,8679,9796,0084,1662,2509,2823,3892,4413,5951,7126,9220,9635
5180,2024-06-08,4277,0920,1169,0422,1091,1328,1633,2989,4491,5622,7303,9229,9604,0989,2228,2319,4318,4478,4495,4526,5115,6132,8440
5181,2024-06-09,7353,0301,9464,2005,2415,3005,3424,5864,6033,6429,6782,8025,8572,0096,3093,3577,4892,5079,5409,6836,8437,9218,9994
5182,2024-06-12,5858,0219,3233,0948,1106,1356,1781,4904,5322,5428,6946,8872,9473,1060,1183,2549,4022,4728,6441,7112,8268,8875,8927
5183,2024-06-15,5393,8046,3525,2533,5339,5366,5417,5475,7077,7652,7763,8907,9036,0510,0787,1952,3823,4621,5572,5809,6745,9778,9976
5184,2024-06-16,5707,7591,1855,2447,3594,3973,4546,5939,7741,7745,7754,8703,9275,0447,1876,3727,3784,4421,7860,8421,9528,9871,9953
5185,2024-06-19,4792,7474,5320,0173,0549,3486,3687,3952,4147,4714,5317,6148,6353,0650,1816,2480,5913,6562,6714,7327,7660,8364,9185
5186,2024-06-22,6235,4207,7090,0970,1515,1589,1600,4646,4975,5117,5716,6759,9457,0460,1430,2030,5519,5997,6151,6399,7527,9446,9747
5187,2024-06-23,0096,3255,5530,0324,1070,1347,1572,2175,4643,5408,7013,7567,8114,2055,3154,3978,4775,5163,7439,8231,8322,8349,8857
5188,2024-06-26,8668,9176,3251,0336,0512,4204,4561,4999,5772,7100,7927,9104,9948,0867,1686,1746,3763,4858,6826,8009,8273,9704,9985
5189,2024-06-29,1295,7962,3439,0026,1692,3013,3386,3734,4149,7332,7632,7714,8289,0857,1017,1101,1133,1335,1954,4422,5737,6307,9723
5190,2024-06-30,7878,6202,8016,2261,2721,2967,2980,3657,4232,5475,6984,7094,9633,0682,1534,2765,2953,5324,5445,9255,9311,9376,9736
5191,2024-07-03,0547,3531,2359,0390,1706,3180,3261,4507,4886,5645,5738,6066,6703,0774,1141,2427,3092,3939,6378,6651,6820,6981,9019
5192,2024-07-06,1897,6901,5695,0071,1585,2807,3055,3109,4961,6215,7474,7847,9785,1540,1748,2061,2677,3915,6471,7435,7556,8226,8844
5193,2024-07-07,0753,6549,8000,1299,2446,2447,3718,6562,6747,7505,7593,8152,8222,1027,4144,4436,6136,6172,6386,7426,7877,8311,9364
5194,2024-07-10,8879,3581,9763,0110,0249,0736,0907,1709,2607,2932,3146,5930,8204,0034,0390,1179,1274,2620,4162,8092,9548,9651,9737
5195,2024-07-13,1487,1381,0636,0650,1423,1610,1616,2354,3471,3824,7033,7929,9387,0690,0761,0847,1367,1745,2595,2670,5061,6022,8536
5196,2024-07-14,1986,6901,5479,0622,1080,1361,3009,3085,3850,4376,4720,4985,9508,0253,2511,2545,2736,2795,3493,3692,4239,6474,7305
5197,2024-07-17,5937,7864,7165,0330,0744,1470,4301,4664,5370,5835,7660,8962,9220,0469,0617,1227,2486,2771,4028,4611,7027,8413,9333
5198,2024-07-20,9926,3958,0647,0361,1193,1542,3528,4019,5977,6900,7896,9244,9303,0103,0426,2159,5016,5611,5957,7556,7949,9284,9464
5199,2024-07-21,7623,2908,9327,0008,0913,2451,5346,6233,7149,7274,7510,7655,8765,0127,0690,1101,1164,1535,5178,5704,7051,7453,9553
5200,2024-07-24,7977,2339,8517,1918,2137,2348,2602,5914,6591,7370,8454,8726,9569,0549,1275,1580,2795,5064,6771,6990,7223,9625,9719
5201,2024-07-27,6318,6485,0488,1628,2070,2377,4010,4262,4496,4544,6963,9164,9502,1234,1593,1704,3005,3431,4524,6723,8508,8592,9812
5202,2024-07-28,6111,1992,6419,2545,2774,2980,3572,3624,5334,7047,7137,7814,8591,0454,1745,3426,3980,4352,4744,6065,6815,7618,9029
5203,2024-07-31,8241,4135,2014,1349,1693,1736,3686,3987,3999,4777,5663,6297,9185,4611,5102,5167,5712,5986,7036,7159,8299,8376,8491
5204,2024-08-03,7015,7974,1353,2549,2918,3349,3490,4032,4662,5103,6762,7514,9097,0992,3892,3985,4190,4450,7860,8363,8576,9441,9704
5205,2024-08-04,8324,3781,6467,0584,1181,2004,2967,3027,4897,5843,8481,8947,9287,0084,2388,4353,6019,6131,6947,7663,7988,8314,9976
5206,2024-08-07,8695,9973,2885,0453,0638,1057,3005,3448,4495,5418,5719,7151,7706,0259,1762,2774,4219,4348,4917,6672,7791,9089,9613
5207,2024-08-10,2433,3577,3700,2596,2724,4000,4214,5326,6922,8093,9189,9489,9520,1091,1974,2115,2831,5154,8372,8499,8783,8853,9448
5208,2024-08-11,8609,6340,3601,1016,1876,5577,5722,6944,7147,7221,7508,7528,7804,1555,3284,3374,3549,3643,4432,6145,6429,9404,9806
5209,2024-08-14,5746,9175,8398,0043,1757,3412,3801,4782,5840,6415,7120,9338,9446,0410,0815,0905,1686,2806,2988,7879,9037,9411,9537
5210,2024-08-17,7577,2978,5568,1753,1936,2709,2982,5468,6716,6992,7232,8460,8916,0391,1141,2506,2901,4245,4720,5927,6991,9083,9281
5211,2024-08-18,0149,0638,0622,1476,2506,3828,4238,4445,4711,6306,6591,7786,8015,1557,2129,2355,2451,4756,6848,7488,9000,9241,9369
5212,2024-08-21,8294,1207,2020,3153,4393,5374,5606,5850,5938,7376,7596,7865,9943,1084,1211,1369,1880,2818,3894,4046,5043,5754,7194
5213,2024-08-24,4608,3903,9194,0471,1302,1753,3479,4734,4745,6330,6668,7124,7865,0561,2203,3019,4306,6314,6435,7282,8373,9144,9991
5214,2024-08-25,7675,2653,5207,0290,1813,3319,3448,4212,4686,4731,5566,7435,9880,0220,1033,2659,3087,4842,5480,6238,6822,7058,7544
5215,2024-08-28,8055,6931,6250,0642,1112,1147,2426,3578,4954,4984,5185,5937,7312,0342,2112,4479,6290,7174,7868,7955,8099,8530,9595
5216,2024-08-31,2853,1794,7477,1286,1339,2920,3663,4091,4566,5451,5535,9009,9019,0081,2321,3219,5352,6603,6823,7568,7977,8972,9165
5217,2024-09-01,9723,6357,0860,0809,1768,2696,4144,4572,5872,7120,7181,7944,8632,0282,1713,2024,2245,2893,3225,4458,6805,7245,9008
5218,2024-09-04,1733,8861,0358,1308,2128,4506,4769,6724,6994,7558,8020,8337,9273,1394,1919,2298,2581,3016,3789,5622,5635,7036,8395
5219,2024-09-07,8871,4758,9681,0028,1784,4404,4923,5295,6428,7399,8123,9053,9860,0179,2451,3138,3613,5822,6103,7082,8404,9777,9866
5220,2024-09-08,2073,0137,8645,0428,1890,2865,2960,3433,8518,8723,8965,9395,9405,0386,1330,1819,3173,3823,3902,4753,5105,5956,9575
5221,2024-09-11,0630,8404,1577,0691,1534,1852,2015,3178,3689,4227,7143,8224,9205,1030,2204,2774,4973,5325,6256,6651,8315,8647,8734
5222,2024-09-14,1538,3273,8184,0287,0740,0883,2576,4789,4794,4816,5035,8960,9880,0467,4087,4579,5771,7385,8033,8747,9201,9598,9915
5223,2024-09-15,8198,1300,0630,0660,1038,3438,3590,3677,4521,5030,5402,7545,7596,1134,3022,4514,6393,6978,7158,8167,8987,9083,9459
5224,2024-09-18,6553,2080,1245,0880,0992,3050,3067,3297,3876,5770,5905,6146,7052,0490,1732,2118,3121,4180,5384,7726,7993,8057,8323
5225,2024-09-21,7954,4691,9266,0262,0385,1213,2451,3248,3616,5733,6778,8491,8805,0411,0880,2733,3911,4203,4769,5782,6622,7980,9911
5226,2024-09-22,4317,3438,0614,0414,1052,1403,2139,3331,3407,4513,7002,7596,8679,0321,5965,7565,7715,7861,8144,8352,8920,9062,9292
5227,2024-09-25,2769,6890,7433,0581,0655,1163,2330,3327,3663,4306,4950,5768,9990,2084,2557,3419,6289,6500,6615,6710,7035,7693,8627
5228,2024-09-28,1672,9272,1800,0514,0591,3819,3827,5513,5720,6737,6923,8759,9049,0242,1689,2294,2672,4215,4711,4842,6065,6114,7332
5229,2024-09-29,2286,6281,0219,1104,2759,3059,5665,5794,6366,6803,7042,8151,9354,0398,1359,2705,3563,3830,6235,7631,8322,8424,8890
5230,2024-10-02,6604,4181,1815,0477,1540,1974,2569,3272,4216,5154,5531,8691,8767,2436,3704,4313,5221,5454,5593,7429,7840,8391,9001
5231,2024-10-05,6821,8502,6941,1780,2843,3781,4113,5623,5923,6159,7630,7645,8578,2312,2936,3181,3818,3835,3852,4473,4693,6022,9712
5232,2024-10-06,8359,1759,4418,0123,1134,2636,3994,4793,5051,6978,8830,9732,9840,1163,2884,3278,3353,4830,4986,6579,6831,7539,9613
5233,2024-10-09,2920,8195,9087,0538,1289,2313,3079,5147,7751,8579,8734,8780,8792,0290,1528,1757,2157,5612,7896,8656,8691,8844,8923
5234,2024-10-12,7488,6470,5723,1306,1395,2126,2241,2751,5601,5842,7930,8531,8711,0141,0334,2471,3265,4756,4959,6378,8773,9378,9661
5235,2024-10-13,6315,6456,9641,0390,2875,4365,4622,5353,6399,6404,8400,9043,9883,1402,1454,1635,2281,3009,3091,4136,5654,9197,9648
5236,2024-10-16,8333,8261,2120,0151,0217,2321,3235,3492,4007,6166,6229,7462,8195,0049,1049,1699,2354,2914,4892,7355,8766,8993,9092
5237,2024-10-19,2969,9523,8081,1094,1666,2017,2360,2828,3300,4224,6226,6793,9581,0826,2945,3473,3657,4069,4398,5237,6429,7728,9643
5238,2024-10-20,4637,9667,0615,0291,0951,1657,3617,5124,6649,7719,8721,9188,9555,0363,0594,0629,2411,3633,5089,6817,8262,9141,9803
5239,2024-10-23,4023,7066,8724,0298,0434,0851,1523,1594,2179,7360,7518,7985,8160,0243,1816,2131,5053,5731,5929,5962,6294,6336,7061
5240,2024-10-26,9688,9749,8611,0121,0416,0800,3204,4351,4858,5019,6819,6852,9160,0083,2498,3089,4057,5850,6699,6883,7100,7129,8636
5241,2024-10-27,1463,3571,4094,0379,0389,0807,1900,2197,2709,2759,4813,6017,7806,0260,0518,1706,2813,3399,6237,6397,6484,7593,9617
5242,2024-10-30,1645,7650,2242,2005,2895,3470,3904,4145,5764,7204,8790,9480,9536,0433,2073,3103,4007,4975,6128,7682,8493,8815,9772
5243,2024-11-02,7689,0978,7973,0524,1061,1354,4602,4673,7269,7825,8671,9068,9645,0121,1821,2405,2804,3038,3103,6606,7555,7768,9236
5244,2024-11-03,0740,2551,4801,0467,0624,2470,3191,3541,5192,6323,6744,6778,7798,0630,1770,1998,3390,4185,4369,4373,5175,5686,8312
5245,2024-11-06,0119,5171,1008,1161,1228,2988,4706,4903,5169,7044,7258,9376,9395,0014,0620,1047,2764,2888,5154,5720,6062,6454,9819
5246,2024-11-09,1783,5841,1718,1454,2196,2374,3106,5565,5655,5991,6328,7090,8211,2355,3932,4047,4559,4820,5133,5185,7298,8385,9364
5247,2024-11-10,4223,2758,8589,0663,0675,1313,1932,2112,2194,4876,6699,7024,7321,0081,1181,1256,3507,5570,6691,8201,8287,9268,9460
5248,2024-11-13,9133,9091,7173,0974,1284,2550,3766,4517,5748,6353,6841,7550,9329,0599,0994,1323,1428,4220,4828,6417,6608,9205,9624
5249,2024-11-16,8078,4966,7131,0313,1629,1917,2876,2892,6991,7615,7643,7746,8750,1175,1505,2689,2757,3449,4087,4528,4552,7542,8858
5250,2024-11-17,7571,4676,2678,1691,1705,2374,3127,3702,5814,7296,7422,8520,9290,1199,1245,2037,2652,2758,4921,5881,6755,7344,9937
5251,2024-11-20,3256,0000,4930,0262,0732,3688,4315,5324,5574,6207,7058,7737,8839,3868,5719,6044,6231,6470,7793,7906,8470,9038,9859
5252,2024-11-23,4823,6725,5985,0247,1696,2763,3185,3190,3414,4734,6725,8027,9623,0732,1407,2488,2841,4114,4553,5012,7837,8233,9682
5253,2024-11-24,5392,7225,2588,2402,2942,3567,3609,5212,5640,7019,7288,7866,8361,0172,0237,1490,1708,4546,7383,7729,8006,8363,9046
5254,2024-11-27,5217,1575,1918,0370,1340,3155,4681,7116,7550,8582,8831,9286,9340,0041,1365,1850,5029,5125,5307,5575,5999,7570,8796
5255,2024-11-30,4625,2729,9950,0111,0644,1400,4194,4630,5069,5464,7735,8664,9417,1530,1627,2622,3128,4023,5431,6701,6891,7087,9222
5256,2024-12-01,8682,2288,4656,2420,2783,2790,2841,3689,3736,3753,7251,7774,9189,0514,3526,3586,7660,7746,7990,8509,9889,9921,9935
5257,2024-12-04,9053,4455,5520,0660,4356,4653,5681,6126,6331,6455,8154,9693,9933,1711,2087,2258,2827,4476,5058,6067,7131,9668,9901
5258,2024-12-07,5929,9039,5600,0172,0929,1197,1991,2629,4284,4999,5758,5959,7060,1495,3699,3860,4400,4640,4841,6262,7088,7922,9692
5259,2024-12-08,3239,9357,6485,0404,1430,2377,5854,6841,7393,7532,9173,9187,9584,0407,0440,1721,2144,2212,4808,7537,8051,8231,8412
5260,2024-12-11,0841,4422,9561,1232,3254,4744,5040,8070,8430,9104,9657,9662,9913,4100,4613,4863,5642,5763,6452,7832,8186,8410,8820
5261,2024-12-14,2700,1324,3471,1323,1766,2689,3022,4298,6322,6388,7671,8401,8502,0833,1524,2334,2751,4037,4454,4739,6815,8254,9624
5262,2024-12-15,1599,3705,1014,0759,4229,4813,5748,6075,6314,7171,8011,8566,8827,1392,2997,3324,3350,3709,4749,5311,6352,6711,9576
5263,2024-12-18,9581,2781,5818,1382,1817,2887,3106,3453,4692,5038,6780,6992,8272,0056,0279,0621,3299,3773,4802,6124,6890,6953,9882
5264,2024-12-21,3259,8846,2415,3343,3511,3720,4905,6184,6401,6666,6750,6875,9952,0059,0621,1002,1030,1947,3482,5065,7199,9244,9472
5265,2024-12-22,5497,7616,1705,1023,1216,2567,2734,3096,6124,6927,7147,7733,7985,0475,0503,0508,1017,1517,7238,8541,8893,9267,9390
5266,2024-12-25,5374,0228,7064,1711,2845,3220,5117,5381,6447,7601,7879,8891,9373,0310,1810,3292,3774,4083,4318,4356,6665,7094,7411
5267,2024-12-28,0175,4689,4351,0791,1710,3190,3254,3379,3882,4346,4932,6895,7674,0477,0823,1324,2299,2517,4244,7174,7594,9167,9880
5268,2024-12-29,6777,2996,7843,2445,2721,2867,3278,4077,4434,4822,8337,8468,8941,1038,1376,2885,3319,3530,4072,6877,7190,8465,9355
5269,2025-01-01,7293,4559,5619,0199,0247,0563,2512,4229,5390,6400,9239,9313,9654,1334,1493,2553,3223,4089,5861,6297,6465,6661,8504
5270,2025-01-04,2679,3800,0842,1809,3060,4764,5691,5699,6969,8042,8477,8646,8796,1348,2190,6706,6963,7541,7784,8874,9497,9499,9685
5271,2025-01-05,5256,5975,1936,0392,1147,2171,2793,4441,5954,6376,7187,7473,9906,0218,4263,4669,5863,6426,7908,8028,8372,8859,9238
5272,2025-01-08,8975,1787,1566,1604,1714,1812,1841,2719,4068,6300,6797,7157,8151,0875,1813,4050,4754,6292,6952,8296,8831,9291,9818
5273,2025-01-11,5263,0328,6401,0038,0636,1204,1437,3859,4372,4767,5349,5643,9867,1595,2703,2759,3841,3898,3909,7653,7875,8832,9841
5274,2025-01-12,8504,1766,6864,0303,0399,1345,6380,6435,7499,7910,9304,9480,9814,0485,1044,1450,2501,3307,5126,6383,7714,9070,9811
5275,2025-01-15,5832,8143,4606,0750,0840,1698,3701,5173,5456,6066,6614,7359,7920,1565,2586,2894,3405,4284,4368,4906,5604,6279,7373
5276,2025-01-18,9858,6562,2327,0010,3507,3966,4042,4907,5042,5558,5818,7244,9952,0408,2108,2307,3454,3547,5941,6293,7443,8127,8699
5277,2025-01-19,3891,4872,3306,1536,2038,3592,3865,5012,6748,8938,8960,9172,9914,0489,2531,3357,5541,6239,6450,6878,7047,8437,8888
5278,2025-01-22,5416,8670,6258,0281,0313,0583,1735,3741,5216,5221,6698,7947,9441,0760,1609,1946,2607,3184,6621,6714,6917,8094,8456
5279,2025-01-25,1222,1689,8970,0470,0610,2123,2350,2605,3536,5082,6903,8102,9332,1471,1891,2100,4495,6113,7002,8353,9359,9557,9676
5280,2025-01-26,2782,4941,9626,2290,2409,2980,3633,3654,4444,6098,6351,6619,6937,2865,3455,3969,4299,4531,5468,6949,7004,7640,8737
5281,2025-01-29,0733,1828,1971,3306,3440,3748,4146,5031,6942,7485,7546,8938,9371,0083,1852,5165,5803,6586,6727,7173,7990,9218,9772
5282,2025-02-01,8383,9894,1152,1216,1544,1604,2508,2897,3131,6478,6714,7633,9528,0669,0740,1327,3653,4576,4909,6259,7654,7939,8457
5283,2025-02-02,9800,3238,1841,0593,1427,4452,4839,6212,6497,7006,7099,8304,8451,1234,1614,2146,2170,3594,3883,4180,4538,6302,8374
5284,2025-02-05,2079,2646,2294,0717,3217,3995,5488,5738,5879,6165,8277,8811,8874,0173,1101,3761,5558,5566,6261,6718,6990,9154,9651
5285,2025-02-08,9285,0822,4720,3093,3687,3924,5068,5593,6792,7283,8922,9643,9778,2132,3091,4134,4868,5831,6298,6548,8792,9188,9775
5286,2025-02-09,3388,2867,0858,0954,1336,2243,3991,4480,5542,5697,5754,7660,8783,0243,1175,2981,4353,6992,7061,8687,8740,9060,9795
5287,2025-02-12,7164,8545,2992,0958,1771,3283,4874,7191,8025,8025,8159,9478,9977,0930,3118,4107,6175,7494,8858,8874,9199,9435,9787
5288,2025-02-15,9899,6464,0266,0531,2858,6433,7097,7350,8019,9576,9621,9713,9863,0181,1207,1257,1683,2262,6918,7233,8308,9347,9479
5289,2025-02-16,7539,3829,4143,0557,2169,3985,4297,4539,6784,7117,7610,9950,9995,0240,1330,1940,4525,4526,4984,6634,7178,7912,8010
5290,2025-02-19,3419,0080,7394,1336,1435,3251,5170,5762,6780,7524,7692,8718,9246,1696,2124,2337,3946,3946,4936,5086,6444,7291,7886
5291,2025-02-22,7325,8407,3834,2041,3433,5917,6203,6752,7796,8471,9336,9675,9848,0458,0528,0657,0849,2610,6285,6335,9099,9306,9585
5292,2025-02-23,6666,3874,4593,0235,1081,1414,2238,2415,2607,3038,6260,7755,9773,0000,0025,1399,3220,3855,3890,4042,5887,6465,8456
5293,2025-02-26,5404,1956,9746,0567,1079,1403,2904,3551,4952,5339,5436,6861,9233,0058,1859,1874,2718,2941,4797,6372,7649,9380,9873
5294,2025-03-01,5946,3571,3194,0046,1118,3311,3344,4122,4617,4944,5558,6560,8773,0745,1950,4859,5560,6911,6915,6944,7582,8328,9287
